DamageSeverity,Informativeness,Humanitarian,DisasterType,SyntheticImages,RawAllocation,ReallocatedAlloc,WeaknessLevels,F1Scores
little_or_none,informative,infrastructure_and_utility_damage,hurricane,31,30,54.2191046,normal|normal|normal|below_average,92.0%|88.1%|85.1%|68.2%
little_or_none,informative,infrastructure_and_utility_damage,landslide,31,30,54.2191046,normal|normal|normal|below_average,92.0%|88.1%|85.1%|69.1%
little_or_none,informative,not_humanitarian,hurricane,31,30,54.2191046,normal|normal|normal|below_average,92.0%|88.1%|90.6%|68.2%
little_or_none,informative,not_humanitarian,landslide,31,30,54.2191046,normal|normal|normal|below_average,92.0%|88.1%|90.6%|69.1%
severe,informative,infrastructure_and_utility_damage,fire,31,30,54.2191046,normal|normal|normal|normal,79.9%|88.1%|85.1%|78.5%
severe,informative,infrastructure_and_utility_damage,not_disaster,31,30,54.2191046,normal|normal|normal|normal,79.9%|88.1%|85.1%|90.7%
severe,informative,not_humanitarian,landslide,31,30,54.2191046,normal|normal|normal|below_average,79.9%|88.1%|90.6%|69.1%
severe,informative,not_humanitarian,earthquake,35,34,61.44831855,normal|normal|normal|normal,79.9%|88.1%|90.6%|80.1%
severe,informative,not_humanitarian,flood,35,34,61.44831855,normal|normal|normal|normal,79.9%|88.1%|90.6%|81.0%
severe,informative,infrastructure_and_utility_damage,landslide,52,50,90.36517433,normal|normal|normal|below_average,79.9%|88.1%|85.1%|69.1%
severe,informative,infrastructure_and_utility_damage,earthquake,56,54,97.59438828,normal|normal|normal|normal,79.9%|88.1%|85.1%|80.1%
severe,informative,infrastructure_and_utility_damage,flood,56,54,97.59438828,normal|normal|normal|normal,79.9%|88.1%|85.1%|81.0%
little_or_none,not_informative,rescue_volunteering_or_donation_effort,earthquake,72,70,126.5112441,normal|normal|moderate|normal,92.0%|89.2%|52.9%|80.1%
little_or_none,not_informative,rescue_volunteering_or_donation_effort,fire,72,70,126.5112441,normal|normal|moderate|normal,92.0%|89.2%|52.9%|78.5%
little_or_none,not_informative,rescue_volunteering_or_donation_effort,not_disaster,72,70,126.5112441,normal|normal|moderate|normal,92.0%|89.2%|52.9%|90.7%
little_or_none,informative,rescue_volunteering_or_donation_effort,earthquake,72,70,126.5112441,normal|normal|moderate|normal,92.0%|88.1%|52.9%|80.1%
little_or_none,informative,rescue_volunteering_or_donation_effort,fire,72,70,126.5112441,normal|normal|moderate|normal,92.0%|88.1%|52.9%|78.5%
little_or_none,informative,rescue_volunteering_or_donation_effort,flood,72,70,126.5112441,normal|normal|moderate|normal,92.0%|88.1%|52.9%|81.0%
little_or_none,informative,rescue_volunteering_or_donation_effort,not_disaster,72,70,126.5112441,normal|normal|moderate|normal,92.0%|88.1%|52.9%|90.7%
severe,informative,infrastructure_and_utility_damage,hurricane,76,74,133.740458,normal|normal|normal|below_average,79.9%|88.1%|85.1%|68.2%
little_or_none,not_informative,affected_injured_or_dead_people,not_disaster,80,78,140.969672,normal|normal|moderate|normal,92.0%|89.2%|48.0%|90.7%
little_or_none,informative,affected_injured_or_dead_people,earthquake,80,78,140.969672,normal|normal|moderate|normal,92.0%|88.1%|48.0%|80.1%
little_or_none,informative,affected_injured_or_dead_people,fire,80,78,140.969672,normal|normal|moderate|normal,92.0%|88.1%|48.0%|78.5%
little_or_none,informative,affected_injured_or_dead_people,flood,80,78,140.969672,normal|normal|moderate|normal,92.0%|88.1%|48.0%|81.0%
little_or_none,informative,affected_injured_or_dead_people,not_disaster,80,78,140.969672,normal|normal|moderate|normal,92.0%|88.1%|48.0%|90.7%
severe,informative,affected_injured_or_dead_people,fire,80,78,140.969672,normal|normal|moderate|normal,79.9%|88.1%|48.0%|78.5%
severe,informative,affected_injured_or_dead_people,not_disaster,80,78,140.969672,normal|normal|moderate|normal,79.9%|88.1%|48.0%|90.7%
little_or_none,not_informative,not_humanitarian,other_disaster,93,90,162.6573138,normal|normal|normal|critical,92.0%|89.2%|90.6%|16.2%
little_or_none,not_informative,rescue_volunteering_or_donation_effort,hurricane,93,90,162.6573138,normal|normal|moderate|below_average,92.0%|89.2%|52.9%|68.2%
little_or_none,informative,rescue_volunteering_or_donation_effort,hurricane,93,90,162.6573138,normal|normal|moderate|below_average,92.0%|88.1%|52.9%|68.2%
little_or_none,informative,rescue_volunteering_or_donation_effort,landslide,93,90,162.6573138,normal|normal|moderate|below_average,92.0%|88.1%|52.9%|69.1%
mild,not_informative,not_humanitarian,not_disaster,93,90,162.6573138,critical|normal|normal|normal,28.4%|89.2%|90.6%|90.7%
mild,informative,not_humanitarian,earthquake,93,90,162.6573138,critical|normal|normal|normal,28.4%|88.1%|90.6%|80.1%
mild,informative,not_humanitarian,fire,93,90,162.6573138,critical|normal|normal|normal,28.4%|88.1%|90.6%|78.5%
mild,informative,not_humanitarian,not_disaster,93,90,162.6573138,critical|normal|normal|normal,28.4%|88.1%|90.6%|90.7%
severe,informative,rescue_volunteering_or_donation_effort,fire,93,90,162.6573138,normal|normal|moderate|normal,79.9%|88.1%|52.9%|78.5%
severe,informative,rescue_volunteering_or_donation_effort,not_disaster,93,90,162.6573138,normal|normal|moderate|normal,79.9%|88.1%|52.9%|90.7%
little_or_none,not_informative,affected_injured_or_dead_people,hurricane,101,98,177.1157417,normal|normal|moderate|below_average,92.0%|89.2%|48.0%|68.2%
little_or_none,informative,affected_injured_or_dead_people,hurricane,101,98,177.1157417,normal|normal|moderate|below_average,92.0%|88.1%|48.0%|68.2%
little_or_none,informative,affected_injured_or_dead_people,landslide,101,98,177.1157417,normal|normal|moderate|below_average,92.0%|88.1%|48.0%|69.1%
severe,informative,affected_injured_or_dead_people,landslide,101,98,177.1157417,normal|normal|moderate|below_average,79.9%|88.1%|48.0%|69.1%
severe,informative,affected_injured_or_dead_people,earthquake,105,102,184.3449556,normal|normal|moderate|normal,79.9%|88.1%|48.0%|80.1%
severe,informative,affected_injured_or_dead_people,flood,105,102,184.3449556,normal|normal|moderate|normal,79.9%|88.1%|48.0%|81.0%
mild,informative,infrastructure_and_utility_damage,earthquake,113,110,198.8033835,critical|normal|normal|normal,28.4%|88.1%|85.1%|80.1%
mild,informative,infrastructure_and_utility_damage,fire,113,110,198.8033835,critical|normal|normal|normal,28.4%|88.1%|85.1%|78.5%
mild,informative,infrastructure_and_utility_damage,not_disaster,113,110,198.8033835,critical|normal|normal|normal,28.4%|88.1%|85.1%|90.7%
severe,informative,rescue_volunteering_or_donation_effort,landslide,113,110,198.8033835,normal|normal|moderate|below_average,79.9%|88.1%|52.9%|69.1%
severe,informative,rescue_volunteering_or_donation_effort,earthquake,118,114,206.0325975,normal|normal|moderate|normal,79.9%|88.1%|52.9%|80.1%
severe,informative,rescue_volunteering_or_donation_effort,flood,118,114,206.0325975,normal|normal|moderate|normal,79.9%|88.1%|52.9%|81.0%
little_or_none,informative,infrastructure_and_utility_damage,other_disaster,126,122,220.4910254,normal|normal|normal|critical,92.0%|88.1%|85.1%|16.2%
little_or_none,informative,not_humanitarian,other_disaster,126,122,220.4910254,normal|normal|normal|critical,92.0%|88.1%|90.6%|16.2%
mild,informative,not_humanitarian,flood,126,122,220.4910254,critical|normal|normal|normal,28.4%|88.1%|90.6%|81.0%
severe,informative,affected_injured_or_dead_people,hurricane,126,122,220.4910254,normal|normal|moderate|below_average,79.9%|88.1%|48.0%|68.2%
severe,informative,not_humanitarian,other_disaster,126,122,220.4910254,normal|normal|normal|critical,79.9%|88.1%|90.6%|16.2%
severe,informative,rescue_volunteering_or_donation_effort,hurricane,138,134,242.1786672,normal|normal|moderate|below_average,79.9%|88.1%|52.9%|68.2%
mild,informative,infrastructure_and_utility_damage,flood,146,142,256.6370951,critical|normal|normal|normal,28.4%|88.1%|85.1%|81.0%
mild,informative,not_humanitarian,hurricane,146,142,256.6370951,critical|normal|normal|below_average,28.4%|88.1%|90.6%|68.2%
mild,informative,not_humanitarian,landslide,146,142,256.6370951,critical|normal|normal|below_average,28.4%|88.1%|90.6%|69.1%
severe,informative,infrastructure_and_utility_damage,other_disaster,146,142,256.6370951,normal|normal|normal|critical,79.9%|88.1%|85.1%|16.2%
mild,informative,affected_injured_or_dead_people,earthquake,163,158,285.5539509,critical|normal|moderate|normal,28.4%|88.1%|48.0%|80.1%
mild,informative,affected_injured_or_dead_people,fire,163,158,285.5539509,critical|normal|moderate|normal,28.4%|88.1%|48.0%|78.5%
mild,informative,affected_injured_or_dead_people,not_disaster,163,158,285.5539509,critical|normal|moderate|normal,28.4%|88.1%|48.0%|90.7%
mild,informative,infrastructure_and_utility_damage,hurricane,167,162,292.7831648,critical|normal|normal|below_average,28.4%|88.1%|85.1%|68.2%
mild,informative,infrastructure_and_utility_damage,landslide,167,162,292.7831648,critical|normal|normal|below_average,28.4%|88.1%|85.1%|69.1%
mild,informative,rescue_volunteering_or_donation_effort,earthquake,175,170,307.2415927,critical|normal|moderate|normal,28.4%|88.1%|52.9%|80.1%
mild,informative,rescue_volunteering_or_donation_effort,fire,175,170,307.2415927,critical|normal|moderate|normal,28.4%|88.1%|52.9%|78.5%
mild,informative,rescue_volunteering_or_donation_effort,not_disaster,175,170,307.2415927,critical|normal|moderate|normal,28.4%|88.1%|52.9%|90.7%
little_or_none,informative,rescue_volunteering_or_donation_effort,other_disaster,188,182,328.9292346,normal|normal|moderate|critical,92.0%|88.1%|52.9%|16.2%
little_or_none,informative,affected_injured_or_dead_people,other_disaster,196,190,343.3876625,normal|normal|moderate|critical,92.0%|88.1%|48.0%|16.2%
mild,informative,affected_injured_or_dead_people,flood,196,190,343.3876625,critical|normal|moderate|normal,28.4%|88.1%|48.0%|81.0%
severe,informative,affected_injured_or_dead_people,other_disaster,196,190,343.3876625,normal|normal|moderate|critical,79.9%|88.1%|48.0%|16.2%
mild,informative,rescue_volunteering_or_donation_effort,flood,208,202,365.0753043,critical|normal|moderate|normal,28.4%|88.1%|52.9%|81.0%
severe,informative,rescue_volunteering_or_donation_effort,other_disaster,208,202,365.0753043,normal|normal|moderate|critical,79.9%|88.1%|52.9%|16.2%
mild,informative,affected_injured_or_dead_people,hurricane,217,210,379.5337322,critical|normal|moderate|below_average,28.4%|88.1%|48.0%|68.2%
mild,informative,affected_injured_or_dead_people,landslide,217,210,379.5337322,critical|normal|moderate|below_average,28.4%|88.1%|48.0%|69.1%
mild,informative,rescue_volunteering_or_donation_effort,hurricane,229,222,401.221374,critical|normal|moderate|below_average,28.4%|88.1%|52.9%|68.2%
mild,informative,rescue_volunteering_or_donation_effort,landslide,229,222,401.221374,critical|normal|moderate|below_average,28.4%|88.1%|52.9%|69.1%
mild,informative,not_humanitarian,other_disaster,241,234,422.9090159,critical|normal|normal|critical,28.4%|88.1%|90.6%|16.2%
mild,informative,infrastructure_and_utility_damage,other_disaster,262,254,459.0550856,critical|normal|normal|critical,28.4%|88.1%|85.1%|16.2%
mild,informative,affected_injured_or_dead_people,other_disaster,312,302,545.805653,critical|normal|moderate|critical,28.4%|88.1%|48.0%|16.2%
mild,informative,rescue_volunteering_or_donation_effort,other_disaster,324,314,567.4932948,critical|normal|moderate|critical,28.4%|88.1%|52.9%|16.2%
