image_id,event_name,image_path,damage_severity,informative,humanitarian,disaster_types,model_name,prompt,LLM_analysis,refusal_detected,fallback_attempts,damage_severity_prediction,informative_prediction,humanitarian_prediction,disaster_types_prediction
damage_multimodal,damaged_infrastructure/images/earthquake_2017-11-13_19-45-14.jpg,data/multimodal-deep-learning-disaster-response-mouzannar/multimodal/damaged_infrastructure/images/earthquake_2017-11-13_19-45-14.jpg,severe,informative,infrastructure_and_utility_damage,earthquake,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image depicts a severely damaged multi-story residential building with multiple floors collapsed or destroyed. A yellow taxi is parked in the foreground amidst significant debris and rubble. The building shows extensive structural damage, with entire sections of walls and floors missing or crumbled. A lone figure can be seen walking on the street near the destroyed building. The scene suggests the aftermath of a catastrophic event that has caused massive destruction to urban infrastructure.
</analysis>

<labels>
{
  ""disaster_type"": ""earthquake"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
This image strongly indicates the aftermath of an earthquake in an urban area. The characteristics that support this classification include:

1. Disaster Type - Earthquake:
- Uniform, widespread structural collapse
- Multiple floors of a residential building systematically damaged
- Symmetrical destruction patterns typical of seismic event

2. Damage Severity - Severe:
- Complete structural failure of multiple building floors
- Extensive debris and rubble
- Buildings rendered uninhabitable
- Significant risk to human life and infrastructure

3. Informativeness - Informative:
- Provides clear visual evidence of extensive urban damage
- Useful for assessing humanitarian response needs
- Shows scale and extent of infrastructure destruction

4. Humanitarian Category - Infrastructure and Utility Damage:
- Focuses on massive structural damage to residential buildings
- Indicates significant humanitarian aid requirements
- Suggests need for emergency shelter, reconstruction, and urban recovery efforts

The image is a critical visual document for humanitarian assessment and response planning.",No,0,severe,informative,infrastructure_and_utility_damage,earthquake
damage_multimodal,non_damage/images/ad_2017-11-25_05-04-49.jpg,data/multimodal-deep-learning-disaster-response-mouzannar/multimodal/non_damage/images/ad_2017-11-25_05-04-49.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image is a vintage advertisement for the Super Nintendo Entertainment System (SNES) gaming console. It shows the gaming system placed on what appears to be a reflective or metallic surface, with large blue and purple text reading ""WAY COOL"" at the top of the image. The ad uses dramatic lighting and styling to make the gaming console look appealing and trendy. There are promotional text snippets describing the system's features, and the Nintendo logo is visible at the bottom right.
</analysis>

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""not_informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>

This image is a marketing advertisement for a video game console, which does not relate to any humanitarian crisis or disaster. It's a promotional piece designed to showcase the Nintendo SNES as ""Way Cool"" with stylish graphic design and positioning. There are no signs of damage, destruction, or humanitarian concerns - it's simply a product advertisement from the early/mid-1990s gaming era.",No,0,little_or_none,not_informative,not_humanitarian,not_disaster
AIDR,916029442559901696_0,data/aidr_disaster_types/human-induced_disaster/5_10_2017/916029442559901696_0.jpg,severe,informative,infrastructure_and_utility_damage,fire,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows a burned-out vehicle on a road with trees in the background. A firefighter in high-visibility gear is standing next to the charred remains of a vehicle, holding a fire hose. The vehicle appears to be completely destroyed by fire, with smoke and debris visible. The scene looks like the aftermath of a vehicle fire on a street with some greenery and a white wall or fence in the background.
</analysis>

<labels>
{
  ""disaster_type"": ""fire"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
- Disaster Type: This is clearly a vehicle fire, which falls under the ""fire"" category. The complete destruction of the vehicle indicates a significant and intense fire.
- Damage Severity: The vehicle is completely burned out, representing severe damage that has rendered the vehicle totally unusable.
- Informativeness: The image provides useful information about the incident, showing the extent of the fire and the emergency response.
- Humanitarian Category: The image depicts infrastructure damage (the burned vehicle) and shows an active response effort (the firefighter), which is relevant to humanitarian aid and emergency response.

The image captures a moment of crisis and response, showing the destructive power of a vehicle fire and the immediate professional intervention to manage the situation. It highlights the importance of emergency services in mitigating and responding to such incidents.",No,0,severe,informative,infrastructure_and_utility_damage,fire
ASONAM2017,nepal_eq_severe_im_42274.jpg,data/ASONAM17_Damage_Image_Dataset/nepal_eq/nepal_eq_severe_im_42274.jpg,severe,informative,infrastructure_and_utility_damage,earthquake,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows an urban street scene with a significant ground rupture - a large, jagged crack running through the pavement/road surface. Several people are standing around the crack, observing it. The surrounding area appears to be a built-up urban environment with multi-story buildings and storefronts visible. The scene suggests the aftermath of a geological event, most likely an earthquake that has caused ground displacement and surface fracturing.
</analysis>

<labels>
{
  ""disaster_type"": ""earthquake"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
1. Disaster Type: Earthquake (confirmed by the clear ground rupture/fissure typical of seismic activity)
2. Damage Severity: Severe - the ground has a massive, wide crack indicating significant geological displacement
3. Informativeness: Highly informative for humanitarian response teams
4. Humanitarian Category: Infrastructure and Utility Damage - the image clearly shows structural damage to the road/ground

The image provides critical visual evidence of earthquake impact, showing the potential scale of infrastructure damage and the immediate need for emergency response, geological assessment, and potential evacuation or infrastructure repair. The presence of people near the crack suggests this is likely a recent event with ongoing assessment of the damage.

The photograph would be extremely valuable for:
- Disaster assessment teams
- Emergency response coordination
- Urban planning and geological studies
- Humanitarian aid resource allocation",No,0,severe,informative,infrastructure_and_utility_damage,earthquake
damage_multimodal,damaged_infrastructure/images/wreckedcar_2017-02-02_01-11-45.jpg,data/multimodal-deep-learning-disaster-response-mouzannar/multimodal/damaged_infrastructure/images/wreckedcar_2017-02-02_01-11-45.jpg,severe,informative,infrastructure_and_utility_damage,other_disaster,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows a severely burned and destroyed car parked in a snowy lot with trucks in the background. The vehicle appears to have been completely gutted by fire, with extensive charring and melting of the body, broken windows, and significant structural damage. The car is sitting on a snow-covered surface, with debris scattered around it. The scene suggests a post-fire incident in a winter setting, likely a parking area or truck stop.
</analysis>

<labels>
{
  ""disaster_type"": ""fire"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
- Disaster Type: This is clearly a fire-related incident, with a vehicle completely destroyed by what appears to be an intense fire
- Damage Severity: The damage is severe, with the car being entirely burned out and structurally compromised
- Informativeness: The image provides useful visual information about the extent of fire damage to a vehicle
- Humanitarian Category: This falls under infrastructure damage, as it shows significant destruction of a transportation asset

The image could be relevant for:
- Insurance assessments
- Fire investigation
- Vehicle safety studies
- Potential analysis of fire spread or origin
- Documenting transportation-related incidents

While not showing direct human injury, the image illustrates the potential destructive power of vehicle fires and the complete loss that can result from such an incident.",No,0,severe,informative,infrastructure_and_utility_damage,fire
CrisisMMD,870145906548539392_0,data/crisismmd/data_image/srilanka_floods/1_6_2017/870145906548539392_0.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows a scene related to Cyclone Mora in Rajasthan, India. There's a computer screen displaying a news article about the cyclone, with a photograph of a stormy landscape. The photo features a colorful umbrella and a silhouetted figure against a dark, cloudy sky. The image indicates heavy rainfall and stormy conditions, with the text mentioning a rainfall of nearly 21 mm in Jaipur and dark clouds covering the region.
</analysis>

<labels>
{
  ""disaster_type"": ""hurricane"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>

Detailed Assessment:
1. Disaster Type: Hurricane/Cyclone - The image directly relates to Cyclone Mora, which is a tropical cyclone causing heavy rainfall and storm conditions.

2. Damage Severity: Little or None - While the cyclone is causing significant rainfall, the image does not show substantial infrastructure damage or destruction.

3. Informativeness: Informative - The image and accompanying text provide useful information about the cyclonic weather conditions, which could be relevant for weather monitoring and public safety.

4. Humanitarian Category: Not Humanitarian - The image does not show direct humanitarian impacts such as injured people, rescue efforts, or infrastructure damage. It's primarily a weather reporting image.

The image serves more as a meteorological and news reporting document rather than a direct humanitarian crisis image. It shows the atmospheric conditions of Cyclone Mora, highlighting the heavy rainfall and stormy weather in the Rajasthan region.",No,0,little_or_none,informative,not_humanitarian,hurricane
aidr_old_data,968177930974257153_0,data/aidr_info/natural_disaster/26_2_2018/968177930974257153_0.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
This image appears to be a meteorological or atmospheric pressure map, showing a complex weather system. The image displays contour lines representing geopotential height at 500 hPa level, with various colors indicating different pressure and temperature zones. There's a distinct low-pressure system (cyclone) visible, with circular isobar lines indicating wind circulation. The color gradient ranges from yellow/green (warmer) to blue/dark blue (colder) regions, suggesting a significant atmospheric disturbance or winter storm system over the North Atlantic or European region.
</analysis>

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>

Detailed Classification Rationale:
1. Disaster Type: This is a meteorological map showing atmospheric conditions, not an actual disaster scene. It's a scientific visualization of weather patterns.

2. Damage Severity: No actual damage is visible. This is a technical visualization of atmospheric conditions.

3. Informativeness: While not showing a direct humanitarian crisis, this type of weather map can be informative for meteorologists, emergency preparers, and potentially humanitarian response teams tracking severe weather conditions.

4. Humanitarian Category: Not directly related to humanitarian aid, as it's a scientific visualization of atmospheric pressure and weather patterns.

The map seems to be tracking a significant weather system (possibly a winter storm or cyclone) with complex pressure gradients, which could be of interest to weather forecasting and potential severe weather preparedness.",No,0,little_or_none,informative,not_humanitarian,not_disaster
AIDR,907176004959051778_0,data/aidr_disaster_types/security-incidents-activities/11_9_2017/907176004959051778_0.jpg,mild,informative,infrastructure_and_utility_damage,hurricane,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image depicts a coastal scene with wind-swept palm trees, scattered fallen branches, and sandy terrain. There is a person wearing a pink top and yellow hard hat standing on the beach. The sky appears overcast and grayish, with the ocean visible in the background. The landscape suggests significant wind damage, with trees bent and broken, indicative of a severe storm or hurricane-like event. The scene looks post-disaster, with visible environmental disruption and debris scattered across the beach.
</analysis>

<labels>
{
  ""disaster_type"": ""hurricane"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
- Disaster Type: Hurricane/Tropical Storm
  - Clear evidence of extreme wind damage
  - Palm trees are severely bent and broken
  - Debris scattered across the landscape
  - Stormy, gray sky consistent with hurricane conditions

- Damage Severity: Severe
  - Significant destruction of vegetation
  - Landscape appears dramatically altered
  - Trees uprooted and broken
  - Environmental infrastructure extensively impacted

- Informativeness: Informative
  - Provides visual documentation of storm aftermath
  - Useful for assessing damage and planning recovery efforts
  - Shows real-world impact of natural disaster

- Humanitarian Category: Infrastructure and Utility Damage
  - Demonstrates extensive environmental damage
  - Suggests potential need for cleanup and restoration efforts
  - Highlights vulnerability of coastal regions to extreme weather events

The image effectively captures the destructive power of a hurricane or severe tropical storm, showing the extensive damage to the natural landscape and potential challenges for local communities in recovery and rebuilding.",No,0,severe,informative,infrastructure_and_utility_damage,hurricane
ASONAM2017,ruby_typhoon_mild_im_22.jpg,data/ASONAM17_Damage_Image_Dataset/ruby_typhoon/ruby_typhoon_mild_im_22.jpg,mild,informative,infrastructure_and_utility_damage,flood,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows a severely flooded urban street with water covering the entire roadway. The water appears deep and turbulent, with some green planters or pots with plants visible partially submerged along the side of the street. The scene is captured from what seems to be inside a vehicle, with part of the vehicle's window frame visible. The flooding appears to be extensive, covering the entire street and reaching significant depth.
</analysis>

<labels>
{
  ""disaster_type"": ""flood"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
- Disaster Type: Confirmed as a flood, with water completely covering the urban street
- Damage Severity: Severe - the entire street is submerged, indicating significant infrastructure impact
- Informativeness: Highly informative for humanitarian response efforts
- Humanitarian Category: Clearly shows infrastructure damage, which would require immediate emergency response and infrastructure assessment

The image provides a critical view of urban flooding, demonstrating the potential for significant disruption to daily life, transportation, and city infrastructure. Such flooding can lead to numerous humanitarian challenges, including:
- Displacement of residents
- Disruption of essential services
- Potential health risks from water contamination
- Transportation and mobility challenges
- Risk of property damage and economic loss

Humanitarian organizations would find this image valuable for assessing the scope and impact of the flooding, planning rescue and relief efforts, and determining immediate infrastructure repair needs.",No,0,severe,informative,infrastructure_and_utility_damage,flood
AIDR,mudslide/images/google/000320.jpg,data/aidr_disaster_types/landslide_crawled_images_v2/mudslide/images/google/000320.jpg,mild,informative,infrastructure_and_utility_damage,landslide,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image depicts a dirt road with significant erosion and landslide damage. There's a steep reddish-brown earthen slope on the right side of the road, with exposed soil and some vegetation. The road appears badly damaged, with loose rocks and eroded surfaces. Trees and greenery are visible on the left side of the image, suggesting this is a rural or mountainous area. The landscape shows signs of significant ground instability and erosion.
</analysis>

<labels>
{
  ""disaster_type"": ""landslide"",
  ""damage_severity"": ""mild"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
- Disaster Type: Landslide - The image clearly shows a significant land movement with an eroded slope and damaged road surface, characteristic of a landslide event.
- Damage Severity: Mild - The road is damaged and the slope has collapsed, but the area is not completely destroyed. The infrastructure is still partially usable, though compromised.
- Informativeness: Informative - This image provides valuable information about the impact of a landslide on local infrastructure, which could be crucial for humanitarian response and recovery efforts.
- Humanitarian Category: Infrastructure and Utility Damage - The focus is on the damage to the road and surrounding landscape, which would be of significant concern for local transportation and community access.

The image illustrates the potential risks of landslides in mountainous or hilly regions, showing how ground instability can impact critical infrastructure like roads. This type of damage can severely affect local communities by disrupting transportation, potentially isolating communities, and creating additional risks for further land movement or collapse.",No,0,mild,informative,infrastructure_and_utility_damage,landslide
